tiktoker name,tiktok name,followers,views(avg.),likes(avg.),comments(avg.),shares(avg.)
byniaromero,nia romero,10.4m,4m,531.1k,2k,291
_vqsngi.03_,ghét môn toán =))),87.7k,2.6m,367.5k,3.3k,1.8k
oblomoffrecipe,oblomoffrecipe,5.3m,3m,271.8k,1.2k,4.8k
yg_treasure_tiktok,yg_treasure_official,3.5m,1.7m,355.3k,4.1k,4.2k
luq_music,luq_music,165.7k,2m,237k,5.9k,4.3k
bradtheboxer,just brad,2m,2.5m,216.7k,3.6k,5.3k
ftedooda,🛄,23.5k,1.2m,219.4k,2.8k,16.4k
kurtisconner,kurtis conner,1.8m,2.2m,465.8k,3.1k,1.5k
maskrayy1,maskrayy1,4.5m,7m,280.9k,1.2k,1.2k
babybella777,bella hadid,4.4m,3m,504.5k,2.6k,614
trainee_a,trainee a,2.7m,1.3m,384k,5.3k,4.2k
texasbushman,texas bushman,1.2m,2.4m,242.6k,1.5k,6.7k
ugolord,⚖️ the tiktok attorney ⚖️,5.3m,2.8m,281k,5.6k,497
fedevigevani,fede vigevani,12.6m,2.7m,370.4k,4k,721
nam_patcharaporn,namfon,656.5k,2.2m,374k,3k,2.6k
endomarf,☻☆endomarfa☆☻,517.2k,1.7m,516.5k,3.4k,2k
dasigantung,dasi gantung,5.1m,3.5m,497.8k,1.5k,1.2k
llucastorresg,lucas torres,831.4k,1.5m,328.5k,4.5k,4.9k
bungalow_jonathan,bungalow jonathan,251.2k,1.5m,116.6k,994,25.1k
.aidenbeaudry,.aidenbeaudry_official,483.3k,2m,344.8k,3.1k,3.5k
cbum,chris bumstead,2m,2m,389.1k,2.6k,3.2k
rebeccazamolo,rebecca zamolo,16.8m,2.3m,233.9k,7.9k,701
farrelhkeem,fa🧛,179.1k,1.8m,292.9k,2.1k,6.4k
cellat36,cellat36,8.2m,2.4m,212.3k,6.4k,2.4k
clexxd,clexxd,8.9m,2.4m,227.3k,8.1k,118
yodeege,deege,905.9k,2.3m,366.9k,1.9k,3.5k
brentrivera,brent rivera,42.8m,2.6m,492.8k,3k,433
herranwalt,herr anwalt,5.3m,2.2m,302.7k,3.8k,3k
europaleague,europa league,2.1m,2.8m,346.8k,2k,2.5k
danivallem,dani valle,3.9m,1.6m,130.5k,1.1k,19.9k
nourmar5,nourmar5,14.3m,1.3m,145.9k,13k,10.1k
