name,followers,engagement_avg,platform
davidbeckham,719000000,0.006959666203059806,Instagram
davidluiz23,212000000,0.003292452830188679,Instagram
davido,233000000,0.007935622317596567,Instagram
davidwarner31,91000000,0.026175824175824175,Instagram
davikah,159000000,0.022345911949685535,Instagram
dbook,51000000,0.0487843137254902,Instagram
ddlovato,1287000000,0.0024848484848484847,Instagram
dean.schneider,101000000,0.02688118811881188,Instagram
dearra,6000000,0.3948333333333333,Instagram
debbyryan,167000000,0.0101437125748503,Instagram
deepikapadukone,655000000,0.005300763358778626,Instagram
deiveleonardo,108000000,0.021694444444444443,Instagram
demetozdemir,15000000,0.22373333333333334,Instagram
demirose,192000000,0.020619791666666668,Instagram
dew_jsu,45000000,0.17742222222222223,Instagram
dhanushkraja,42000000,0.1631190476190476,Instagram
